 - Domingo, 19 de Março de 2017 - 177.27.237.119 - Windows 7 - Chrome -  -  -  - Brazil
 - Domingo, 19 de Março de 2017 - 177.27.237.119 - Windows 7 - Chrome -  -  -  - Brazil
 - Domingo, 19 de Março de 2017 - 187.84.67.101 - iPhone - Handheld Browser -  - Pernambuco - Santa Cruz Do Capibaribe - Brazil
 - Domingo, 19 de Março de 2017 - 187.13.33.247 - Unknown OS Platform - Chrome -  - Rio de Janeiro - S&atilde;o Gon&ccedil;alo - Brazil
 - Domingo, 19 de Março de 2017 - 200.233.89.219 - Windows 7 - Firefox -  - Minas Gerais - Alfenas - Brazil
 - Domingo, 19 de Março de 2017 - 187.79.5.112 - Windows 7 - Chrome -  - Maranh&atilde;o - Imperatriz - Brazil
 - Domingo, 19 de Março de 2017 - 200.180.69.233 - Windows 7 - Chrome -  - Santa Catarina - Penha - Brazil
 - Domingo, 19 de Março de 2017 - 177.52.244.253 - Windows 7 - Firefox -  - Minas Gerais - Itajub&aacute; - Brazil
 - Domingo, 19 de Março de 2017 - 179.165.30.147 - Android - Handheld Browser -  -  -  - Brazil
 - Domingo, 19 de Março de 2017 - 177.27.237.119 - Windows 7 - Chrome -  -  -  - Brazil
 - Domingo, 19 de Março de 2017 - 177.34.115.75 - Windows 7 - Chrome -  - Estado do Amazonas -  - Brazil
 - Domingo, 19 de Março de 2017 - 189.68.226.132 - Unknown OS Platform - Chrome -  - S&atilde;o Paulo - S&atilde;o Paulo - Brazil
 - Domingo, 19 de Março de 2017 - 189.11.141.246 - Unknown OS Platform - Chrome -  -  -  - Brazil
 - Domingo, 19 de Março de 2017 - 189.11.141.246 - Unknown OS Platform - Chrome -  -  -  - Brazil
 - Domingo, 19 de Março de 2017 - 187.79.5.112 - Windows 7 - Chrome -  - Maranh&atilde;o - Imperatriz - Brazil
 - Domingo, 19 de Março de 2017 - 170.80.227.183 - Android - Handheld Browser -  - Rio de Janeiro - Tr&ecirc;s Rios - Brazil
 - Domingo, 19 de Março de 2017 - 179.104.179.167 - Unknown OS Platform - Chrome -  - Minas Gerais - Uberl&acirc;ndia - Brazil
 - Domingo, 19 de Março de 2017 - 179.104.179.167 - Unknown OS Platform - Chrome -  - Minas Gerais - Uberl&acirc;ndia - Brazil
 - Domingo, 19 de Março de 2017 - 179.104.179.167 - Unknown OS Platform - Chrome -  - Minas Gerais -  - Brazil
 - Domingo, 19 de Março de 2017 - 191.13.160.82 - Windows 7 - Chrome -  -  -  - Brazil
 - Domingo, 19 de Março de 2017 - 191.13.160.82 - Windows 7 - Chrome -  -  -  - Brazil
 - Domingo, 19 de Março de 2017 - 191.13.160.82 - Windows 7 - Chrome -  -  -  - Brazil
 - Domingo, 19 de Março de 2017 - 200.206.254.215 - Unknown OS Platform - Chrome -  - S&atilde;o Paulo - Campos Do Jord&atilde;o - Brazil
